# iter,dt,loss,test
1,8.518e-01,3.196403e-03,2.848932e-03
2,7.537e-01,3.055922e-03,2.720992e-03
3,6.230e-01,2.918686e-03,2.596127e-03
4,6.258e-02,2.784748e-03,2.474383e-03
5,6.272e-02,2.654160e-03,2.355804e-03
6,6.537e-02,2.526965e-03,2.240428e-03
7,6.732e-02,2.403206e-03,2.128288e-03
8,6.575e-02,2.282918e-03,2.019413e-03
9,6.460e-02,2.166133e-03,1.913828e-03
10,6.276e-02,2.052877e-03,1.811553e-03
11,6.238e-02,1.943171e-03,1.712601e-03
12,6.246e-02,1.837030e-03,1.616981e-03
13,6.372e-02,1.734463e-03,1.524696e-03
14,6.248e-02,1.635473e-03,1.435744e-03
15,6.296e-02,1.540059e-03,1.350118e-03
16,6.249e-02,1.448211e-03,1.267803e-03
17,6.046e-02,1.359915e-03,1.188780e-03
18,6.248e-02,1.275150e-03,1.113024e-03
19,6.251e-02,1.193891e-03,1.040506e-03
20,6.102e-02,1.116103e-03,9.711887e-04
21,6.283e-02,1.041750e-03,9.050321e-04
22,5.870e-02,9.707871e-04,8.419896e-04
23,5.847e-02,9.031644e-04,7.820103e-04
24,5.854e-02,8.388273e-04,7.250380e-04
25,6.129e-02,7.777156e-04,6.710120e-04
26,6.067e-02,7.197644e-04,6.198676e-04
27,6.069e-02,6.649040e-04,5.715358e-04
28,5.890e-02,6.130608e-04,5.259440e-04
29,5.974e-02,5.641565e-04,4.830161e-04
30,5.899e-02,5.181096e-04,4.426726e-04
31,5.886e-02,4.748350e-04,4.048315e-04
32,5.955e-02,4.342446e-04,3.694085e-04
33,5.907e-02,3.962478e-04,3.363164e-04
34,5.932e-02,3.607515e-04,3.054673e-04
35,5.933e-02,3.276610e-04,2.767711e-04
36,5.898e-02,2.968799e-04,2.501369e-04
37,5.903e-02,2.683106e-04,2.254734e-04
38,5.945e-02,2.418552e-04,2.026886e-04
39,5.999e-02,2.174149e-04,1.816907e-04
40,5.900e-02,1.948914e-04,1.623882e-04
41,5.887e-02,1.741865e-04,1.446904e-04
42,5.932e-02,1.552028e-04,1.285075e-04
43,5.933e-02,1.378442e-04,1.137512e-04
44,5.878e-02,1.220158e-04,1.003347e-04
45,5.911e-02,1.076245e-04,8.817285e-05
46,5.881e-02,9.457905e-05,7.718299e-05
47,5.905e-02,8.279073e-05,6.728459e-05
48,5.885e-02,7.217314e-05,5.839966e-05
49,5.882e-02,6.264268e-05,5.045299e-05
50,5.914e-02,5.411866e-05,4.337221e-05
51,5.896e-02,4.652342e-05,3.708795e-05
52,5.904e-02,3.978258e-05,3.153397e-05
53,5.876e-02,3.382507e-05,2.664719e-05
54,5.886e-02,2.858324e-05,2.236783e-05
55,5.886e-02,2.399296e-05,1.863934e-05
56,5.860e-02,1.999357e-05,1.540850e-05
57,5.872e-02,1.652801e-05,1.262540e-05
58,5.880e-02,1.354270e-05,1.024338e-05
59,5.900e-02,1.098761e-05,8.218993e-06
60,5.874e-02,8.816143e-06,6.511968e-06
61,5.889e-02,6.985095e-06,5.085105e-06
62,5.880e-02,5.454564e-06,3.904205e-06
63,5.889e-02,4.187865e-06,2.937945e-06
64,5.876e-02,3.151401e-06,2.157781e-06
65,5.894e-02,2.314555e-06,1.537816e-06
66,5.874e-02,1.649546e-06,1.054669e-06
67,5.904e-02,1.131296e-06,6.873474e-07
68,5.888e-02,7.372867e-07,4.170987e-07
69,5.888e-02,4.474030e-07,2.272742e-07
70,5.887e-02,2.437868e-07,1.031827e-07
71,5.862e-02,1.106795e-07,3.195011e-08
72,5.892e-02,3.427144e-08,2.377356e-09
